seq,category,title
1,문화,귀 가려울 때 '여기' 누르면 해소
2,사회,"재감염률 높은 BA.5 국내서도 급증..정부, 13일 대책 발표"
3,국제,"아베 저격 현장 목격자..""뒤에서 바주카포같은 총으로 쏴"""
4,정치,"외교부, 日 아베 전 총리 피격 사건에 ""아직 언급 자제"""
5,경제,교보생명 IPO 초읽기..주주 갈등 분수령 '주목'
6,정치,"민주당 ""공관위 구성, 최고위는 '심의'만""..이재명계 '안도'"
7,사회,"MB 처남댁, '다스 증여세 불복' 2심도 승소..9억→600만원"
8,사회,"윤건영 충북교육감 ""생각의 힘 키우려면 효과적 독서교육 중요"""
9,경제,"""미국 기준금리 3.75%까지 오르면 한국 GDP 0.7%↓·환율 16%↑"""
10,국제,아베 신조 전 총리 피습..일본 현지 반응은?[더뉴스]
11,사회,"국립횡성숲체원, 산촌체험 여행상품 '같이 살림' 8월부터 운영"
12,경제,돼지·소·닭이 1번 대책인 이유..새 물가대책 의미와 한계
13,사회,"지방선거앞..마약 걸린 행정관, 알고도 사표 받아준 文청와대"
14,사회,장맛비 없이 곳곳 무더위·열대야..강원 한때 소나기[주말날씨]
15,경제,외인 매수세에 코스피 0.94% 상승..코스닥은 1%↑[장중시황]
16,국제,"印기상청, 폭우로 일상 마비된 뭄바이에 적생경보 발령"
17,경제,서울 아파트값 강남·동작만 상승..하락지역 14개로 늘어
18,국제,러시아판 맥도날드라더니.. '곰팡이 버거'에 시끌
19,국제,"아베 피격 소식, 외신도 신속 보도..""총기 사용 금지국 日서 충격"""
20,국제,"""보내라"" ""말라""..獨·캐나다·우크라, '러시아 가스터빈' 3각 외교전(戰)"
